Date,AGTHX,FCNTX,FDRXX,FGTXX,FRGXX,FXAIX,IVV,OGVXX,SPAXX,SPY,TFDXX,TSTXX,VFFSX,VFIAX,VGTSX,VIIIX,VINIX,VITSX,VMFXX,VSMPX,VTBIX,VTBNX,VTSAX,VTSMX,WFFXX
2020-02-05,53.51926040649414,14.449999809265137,,,,114.64720916748047,327.89794921875,,,326.7578430175781,,,160.36395263671875,302.7256164550781,17.334863662719727,294.2213439941406,294.2507019042969,80.92313385009766,,151.7504425048828,10.947571754455566,10.942806243896484,80.92156982421875,80.96675109863281,
2020-02-06,53.71876907348633,14.529999732971191,,,,115.05323791503906,329.1534729003906,,,327.8573303222656,,,160.92381286621094,303.7768859863281,17.413036346435547,295.25128173828125,295.28076171875,81.14912414550781,,152.1630859375,10.957388877868652,10.952619552612305,81.13777160644531,81.19300079345703,
2020-02-07,53.51926040649414,14.399999618530273,,,,114.44915771484375,327.3682556152344,,,326.1099548339844,,,160.08895874023438,302.195068359375,17.25668716430664,293.7113342285156,293.74053955078125,80.6971435546875,,151.3181610107422,10.98684310913086,10.982061386108398,80.68573760986328,80.74050903320312,
2020-02-10,53.948211669921875,14.550000190734863,,,,115.31072235107422,329.7910461425781,,,328.54449462890625,,,161.28721618652344,304.454833984375,17.2860050201416,295.908447265625,295.93804931640625,81.29650115966797,,152.447998046875,10.996664047241211,10.991874694824219,81.29499053955078,81.34056091308594,
2020-02-11,54.127769470214844,14.539999961853027,,,,115.50878143310547,330.3992004394531,,,329.1138610839844,,,161.562255859375,304.9853515625,17.413036346435547,296.4185485839844,296.4482116699219,81.50283813476562,,152.8213348388672,10.98684310913086,10.982061386108398,81.49152374267578,81.53728485107422,
2020-02-12,54.59662628173828,14.65999984741211,,,,116.26141357421875,332.5179138183594,,,331.2342834472656,,,162.61318969726562,306.9601745605469,17.491209030151367,298.3507995605469,298.38079833984375,82.02359771728516,,153.80377197265625,10.967208862304688,10.962433815002441,82.0123291015625,82.0684814453125,
2020-02-13,54.63652801513672,14.649999618530273,,,,116.10295867919922,332.10589599609375,,,330.880859375,,,162.40695190429688,306.5671691894531,17.403261184692383,297.9584655761719,297.9884033203125,81.97447204589844,,153.7251739501953,10.977025985717773,10.972248077392578,81.9730224609375,82.019287109375,
2020-02-14,54.716331481933594,14.720000267028809,,,,116.34063720703125,332.5865478515625,,,331.4109802246094,,,162.73104858398438,307.1763000488281,17.38372230529785,298.55682373046875,298.5770263671875,82.13167572021484,,154.01010131835938,10.98684310913086,10.982061386108398,82.12041473388672,82.17668151855469,
2020-02-18,54.806114196777344,14.760000228881836,,,,116.0039291381836,331.79205322265625,,,330.5569152832031,,,162.2595977783203,306.29205322265625,17.266460418701172,297.7034606933594,297.7235412597656,81.93516540527344,,153.64659118652344,11.00648307800293,11.001689910888672,81.93370819091797,81.97993469238281,
2020-02-19,55.24504470825195,14.869999885559082,,,,116.56839752197266,333.3810729980469,,,332.1373596191406,,,163.05517578125,307.7952575683594,17.35440444946289,299.1551208496094,299.1754455566406,82.34783172607422,,154.42271423339844,11.00648307800293,11.001689910888672,82.33660125732422,82.39309692382812,
2020-02-20,54.83604431152344,14.770000457763672,,,,116.1326675415039,332.0176086425781,,,330.7729187011719,,,162.4364013671875,306.6260986328125,17.20783042907715,298.02716064453125,298.0472717285156,82.11202239990234,,153.9806365966797,11.026116371154785,11.021318435668945,82.110595703125,82.15699768066406,
2020-02-21,54.13774871826172,14.5600004196167,,,,114.91459655761719,328.6041564941406,,,327.36651611328125,,,160.7273712158203,303.41339111328125,17.129657745361328,294.8981628417969,294.9275817871094,81.25719451904297,,152.36940002441406,11.055573463439941,11.050762176513672,81.24585723876953,81.29136657714844,
2020-02-24,52.15259552001953,14.020000457763672,,,,111.0821304321289,317.637939453125,,,316.5092468261719,,,155.3645477294922,293.2740173339844,16.52381706237793,285.05023193359375,285.0780334472656,78.58467102050781,,147.35887145996094,11.094846725463867,11.090017318725586,78.57302856445312,78.62559509277344,
2020-02-25,50.70613098144531,13.630000114440918,,,,107.71510314941406,308.1136169433594,,,306.9183349609375,,,150.65982055664062,284.40216064453125,16.279525756835938,276.42840576171875,276.4547424316406,76.16757202148438,,142.82974243164062,11.114483833312988,11.109646797180176,76.15570831298828,76.20574188232422,
2020-02-26,50.71610641479492,13.630000114440918,,,,107.30908203125,306.9267883300781,,,305.7894592285156,,,150.09011840820312,283.3213806152344,16.28929901123047,275.3887023925781,275.405029296875,75.74507904052734,,142.04376220703125,11.094846725463867,11.090017318725586,75.74298858642578,75.78276062011719,
2020-02-27,48.76088333129883,13.09000015258789,,,,102.58534240722656,292.998291015625,,,292.0559387207031,,,143.48974609375,270.8634033203125,15.849574089050293,263.26513671875,263.289306640625,72.49282836914062,,135.9230499267578,11.114483833312988,11.109646797180176,72.48058319091797,72.52677917480469,
2020-02-28,48.77085876464844,13.079999923706055,,,,101.76339721679688,290.2518310546875,,,290.8288269042969,,,142.340576171875,268.6822509765625,15.742087364196777,261.146484375,261.1702880859375,71.86398315429688,,134.75392150878906,11.205984115600586,11.201104164123535,71.86151123046875,71.897216796875,
2020-03-02,50.49664306640625,13.619999885559082,,,,106.44751739501953,304.4647521972656,,,303.423583984375,,,148.89186096191406,281.05181884765625,15.98637866973877,273.162109375,273.1879577636719,74.97869110107422,,140.5995330810547,11.186305046081543,11.181434631347656,74.97652435302734,75.01549530029297,
2020-03-03,49.169883728027344,13.220000267028809,,,,103.4568099975586,295.73492431640625,,,294.7358703613281,,,144.7174835205078,273.1722106933594,15.820260047912598,265.50152587890625,265.52606201171875,72.9644546508789,,136.8170623779297,11.265012741088867,11.260109901428223,72.96208190917969,72.99893951416016,
2020-03-04,51.13508224487305,13.75,,,,107.83393859863281,308.7315979003906,,,307.1244812011719,,,150.8267822265625,284.7066955566406,16.230669021606445,276.7128601074219,276.72943115234375,75.91211700439453,,142.35812377929688,11.255175590515137,11.250274658203125,75.91004180908203,75.94998168945312,
2020-03-05,49.57888412475586,13.329999923706055,,,,104.18963623046875,297.95172119140625,,,296.9151611328125,,,145.73899841308594,275.1077575683594,15.908206939697266,267.3848571777344,267.4096374511719,73.37712860107422,,137.59324645996094,11.31420612335205,11.309279441833496,73.3649673461914,73.4120864868164,
2020-03-06,48.5912971496582,13.09000015258789,,,,102.4169921875,292.9884948730469,,,292.0068359375,,,143.26382446289062,270.43109130859375,15.615055084228516,262.8335876464844,262.857666015625,72.07032012939453,,135.1370849609375,11.392911911010742,11.387951850891113,72.05803680419922,72.10379028320312,
2020-03-09,45.039974212646484,12.170000076293945,,,,94.65303039550781,269.54547119140625,,,269.20269775390625,,,132.3482666015625,249.82740783691406,14.403373718261719,242.90232849121094,242.923095703125,66.41081237792969,,124.53636932373047,11.383075714111328,11.378118515014648,66.40778350830078,66.4476318359375,
2020-03-10,47.065025329589844,12.800000190734863,,,,99.32725524902344,284.013427734375,,,283.132568359375,,,138.8788604736328,262.161376953125,14.83332633972168,254.89833068847656,254.921142578125,69.54515838623047,,130.4114532470703,11.24533748626709,11.24044132232666,69.54243469238281,69.57572937011719,
2020-03-11,44.97014617919922,12.229999542236328,,,,94.48468017578125,270.2026672363281,,,269.330322265625,,,132.1114959716797,249.3833770751953,14.227485656738281,242.4609375,242.48162841796875,66.00797271728516,,123.77986907958984,11.16662883758545,11.161768913269043,66.0048828125,66.04431915283203,
2020-03-12,41.12952423095703,11.15999984741211,,,,85.51254272460938,244.19956970214844,,,243.56153869628906,,,119.57313537597656,225.7119903564453,12.751970291137695,219.4497528076172,219.4666290283203,59.641021728515625,,111.8429946899414,11.068244934082031,11.063426971435547,59.63728713989258,59.67007064819336,
2020-03-13,44.202022552490234,12.109999656677246,,,,93.47456359863281,266.35760498046875,,,264.3826904296875,,,130.7205352783203,246.7488555908203,13.445755004882812,239.91067504882812,239.93096923828125,64.99594116210938,,121.88372039794922,10.999375343322754,10.994586944580078,64.99275207519531,65.0311279296875,
2020-03-16,39.11444854736328,10.680000305175781,,,,82.31387329101562,235.52859497070312,,,235.45297241210938,,,115.06485748291016,217.1966094970703,12.067956924438477,211.1908416748047,211.20632934570312,57.00777816772461,,106.90123748779297,11.087922096252441,11.08309555053711,57.0037727355957,57.0338020324707,
2020-03-17,40.810306549072266,11.270000457763672,,,,87.19606018066406,250.50662231445312,,,248.16555786132812,,,121.94073486328125,230.18182373046875,12.5272216796875,223.8146209716797,223.83221435546875,60.2993278503418,,113.07107543945312,10.900991439819336,10.896245002746582,60.29566955566406,60.32913589477539,
2020-03-18,38.725399017333984,10.789999961853027,,,,82.7099838256836,236.55850219726562,,,235.60020446777344,,,115.62715148925781,218.2622528076172,11.804122924804688,212.24037170410156,212.25604248046875,56.78178787231445,,106.46896362304688,10.723898887634277,10.719229698181152,56.76793670654297,56.79772186279297,
2020-03-19,39.72296142578125,11.020000457763672,,,,83.0962142944336,237.43150329589844,,,236.10084533691406,,,116.17959594726562,219.29832458496094,11.833436012268066,213.2408447265625,213.26649475097656,57.469573974609375,,107.76580810546875,10.635354042053223,10.630722999572754,57.46562576293945,57.49612808227539,
2020-03-20,38.805206298828125,10.65999984741211,,,,79.50141143798828,226.7399139404297,,,225.92628479003906,,,111.15833282470703,209.8258056640625,11.854010581970215,204.03048706054688,204.0447998046875,55.072139739990234,,103.2759780883789,10.773090362548828,10.768403053283691,55.06794738769531,55.095951080322266,
2020-03-23,38.466033935546875,10.5,,,,77.17420959472656,220.35440063476562,,,220.14974975585938,,,107.90289306640625,203.67855834960938,11.579702377319336,198.0668182373047,198.0801239013672,53.54918670654297,,100.41702270507812,10.861638069152832,10.856908798217773,53.54483413696289,53.57124328613281,
2020-03-24,41.34899139404297,11.359999656677246,,,,84.43312072753906,241.17848205566406,,,240.09603881835938,,,118.04407501220703,222.8209228515625,12.51038932800293,216.69351196289062,216.7099151611328,58.60934066772461,,109.90756225585938,10.851799011230469,10.847074508666992,58.60550308227539,58.637203216552734,
2020-03-25,41.74801254272461,11.369999885559082,,,,85.40361022949219,244.2589569091797,,,243.69032287597656,,,119.40543365478516,225.39622497558594,12.931647300720215,217.80752563476562,217.83193969726562,59.427978515625,,111.4420394897461,10.891153335571289,10.8864107131958,59.42222213745117,59.45550537109375,
2020-03-26,43.9825553894043,11.949999809265137,,,,90.7413330078125,258.96563720703125,,,257.9193420410156,,,126.86334991455078,239.46685791015625,13.509652137756348,231.4044647216797,231.4205322265625,63.12124252319336,,118.36396026611328,10.969860076904297,10.96508502960205,63.115745544433594,63.14182662963867,
2020-03-27,42.43633270263672,11.529999732971191,,,,87.68130493164062,250.94113159179688,,,250.23704528808594,,,122.59181213378906,231.40536499023438,13.078598022460938,223.6192626953125,223.6443634033203,60.998111724853516,,114.37472534179688,11.058404922485352,11.053592681884766,60.992462158203125,61.017005920410156,
2020-03-30,43.61345672607422,11.90999984741211,,,,90.63240051269531,258.95574951171875,,,258.3636779785156,,,126.71536254882812,239.200439453125,13.274532318115234,231.1479034423828,231.16397094726562,62.92374038696289,,117.99860382080078,11.078083038330078,11.073262214660645,62.91823196411133,62.94416809082031,
2020-03-31,43.3042106628418,11.760000228881836,,,,89.19646453857422,255.04713439941406,,,254.51268005371094,,,124.70291900634766,235.39170837402344,13.205954551696777,227.47731018066406,227.4929656982422,61.975738525390625,,116.21134948730469,11.111605644226074,11.107757568359375,61.97016143798828,61.99541091918945,
2020-04-01,41.50859832763672,11.279999732971191,,,,85.25505828857422,243.59765625,,,243.05836486816406,,,119.19828033447266,225.00155639648438,12.774900436401367,217.43255615234375,217.44708251953125,59.092227935791016,,110.80020141601562,11.131324768066406,11.12746810913086,59.08645248413086,59.1096076965332,
2020-04-02,42.1270866394043,11.460000038146973,,,,87.21586608886719,249.31253051757812,,,248.6670379638672,,,121.94073486328125,230.18182373046875,12.99042797088623,222.43521118164062,222.45028686523438,60.306854248046875,,113.09104919433594,11.131324768066406,11.12746810913086,60.30116653442383,60.3350830078125,
2020-04-03,41.568450927734375,11.279999732971191,,,,85.9086685180664,245.78884887695312,,,245.07275390625,,,120.11572265625,226.7283172607422,12.725915908813477,219.10011291503906,219.1246795654297,59.30948257446289,,111.21492004394531,11.131324768066406,11.12746810913086,59.303714752197266,59.3270263671875,
2020-04-06,44.18206787109375,12.050000190734863,,,,91.94950103759766,262.3511047363281,,,261.5333557128906,,,128.56011962890625,242.663818359375,13.362702369689941,234.50274658203125,234.51914978027344,63.55574035644531,,119.18353271484375,11.121465682983398,11.1176118850708,63.5502815246582,63.5766716003418,
2020-04-07,44.1321907043457,11.989999771118164,,,,91.80095672607422,262.459716796875,,,261.79998779296875,,,128.3529510498047,242.2790069580078,13.46066951751709,234.1376495361328,234.15403747558594,63.535987854003906,,119.13417053222656,11.121465682983398,11.1176118850708,63.52064895629883,63.55690383911133,
